Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
148,Braden QD Scale / Braden Q Scale ,Debbie,,,,,Internal – Evidence Centre,"Martha A.Q. Curley, Natalie R. Hasbani, Sandy M. Quigley, Judith J. Stellar, Tracy A. Pasek, Stacey S. Shelley, Lindyce A. Kulik, Tracy B. Chamblee, Mary Anne Dilloway, Catherine N. Caillouette, Margaret A. McCabe, David Wypij",Tool 2018,,see Ax Info Card spreadsheet for associated links,May 28-21,"clinicians, researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Braden QD assesses risk for immobility-related and medical device–related pressure injury risk in pediatric patients.  BC Children's Hospital and Sunny Hill Health Centre have adopted a modified version of the Braden Q Scale and have created internal documents to support its use available on their intranet. Braden QD Scale developer's website has freely available downloadable versions in English, French Canadian, Chinese, Korean, Thai, Portuguese, Italian, Finnish, Danish,  French. Also links to Braden QD Self-Learning Module.",All,"Bone, muscle, skin health, Pain, Positioning, mobility, lower body","pressure injury, pressure sore, pressure ulcer, wound, measurement, nutrition, healing, risk assessment, posture, seating ",N,N,,,Debbie,All,
149,Brain Injury Canada,Maddy,,,,,External,Brain Injury Canada,,© 2021,https://www.braininjurycanada.ca/,Dec-6-21,"families, caregivers, children/youth, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports to Help You Find Services,,,,,,,,"Information about brain injuries, resources and supports for patients and families, and resources for healthcare professionals",,,"brain injury, concussion, traumatic brain injury, non traumatic brain injury, mental health, family, caregiver, advocacy, resources, community, symptoms, effects, recovery",N,,,,,,Canada
150,Brainzilla,Claire,,,,,External,Brainzilla,,©2017-2021,https://www.brainzilla.com/,8-Jun-21,"Children, youth, families, caregivers, clinicians",web link,,,,,,,,,,,Fun games to work on your thinking and language skills.,various disabilities,"cognition, language","logic games, word games, puzzles, brain teasers, solitaire, fun, games, IQ tests, blog",N,,,,Sunny Hill SLPs,,
151,British Columbia (BC) & Alberta Guide Dogs,Claire/Salina,,,,,External,BC & Alberta Guide Dogs,,"©2014;
calendar updated 2022",BC and Alberta Guide Dogs | 604-940-4504,"May 31, 2022","Children, youth, families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Other Community Supports,,,,,,,"WE PROFESSIONALLY TRAIN GUIDE DOGS, AUTISM SERVICE DOGS AND PTSD SERVICE DOGS FOR CITIZENS OF BRITISH COLUMBIA AND ALBERTA.",All,,"guide dogs, British Columbia, Alberta, Autism Service Dogs, PTSD service dogs, autism, post-traumatic stress disorder",N,,,,Cynthia,All,BC; Alberta
152,Families: British Columbia Pediatric Society,Claire,,,,,External,British Columbia Pediatric Society,,© 2020,https://www.bcpeds.ca/families/,"May 24th, 2021","Children/youth, families, caregivers, clinicians",web link,,,,,,,,,,,Information and resources for families and caregivers about child/youth health,All,,"navigating the health care system, Healthy weights, child & youth mental health, learning disabilites, dental health, social relationships and friends,  cost of medications, helpful health resources, immunizations, pediatrician ",N,,,,,All,Canada-Wide
153,"Bayley Scales of Infant and Toddler Development - 4th Edition (Bayley-4, BSID-4)",Debbie,"Lex,Tanja",,,,Internal – Evidence Centre,"Glen P. Aylward & Nancy Bayley
                                    ",Tool 2019                         ,,see Ax Info Card spreadsheet for associated links,20-May-21,"Clinicians, Researchers",Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,identifies children with developmental delay and supports intervention planning for children 16 days to 42 months old,All,"Hand, arm use, printing, Positioning, mobility, lower body, Communication, Behaviour, emotion, social skills, Thinking, cognition, Play, recreation, physical activity","fine motor, gross motor, language, behavior, self-regulation, cognition, occupational therapy, physical therapy, psychology, speech language pathology,",N,N,BSID-IV Bayley Scales of Infant and Toddler Development - 4th Edition E4P,,Tanja/Debbie,Infant/Toddler; Early Years,
157,C&W Patient and Family Engagement Toolkit,Maddy,,,,,Internal,BC Children's Hospital,,,https://pod.phsa.ca/our-phsa/browse-by-department/PublishingImages/Pages/Patient-Experience-CW/CW%20Patient%20Experience%20Engagement%20Toolkit%202021.pdf,Jun-24-21,"clinicians, researchers",pdf,"Tools to Find, Evaluate and Use Health Information",Move Evidence into Action (Step 4 and 5),"Guidelines, Templates and Forms",,,,,,,,Resource for health care workers to better engage patients and families in their work,,,"patient engagement, family engagement, diving deeper, toolkit",N,,,,,,BC
158,CADTH Canadian Environmental Scan: Power Mobility for Preschool Children (2016),Debbie,,,,,External,Canadian Agency for Drugs and Technologies in Health (CADTH),2016,,https://www.cadth.ca/power-mobility-for-preschool-children,May 19-21,clinicians; researchers; policy makers,"webpage, pdf ",,,,,,,,,,,environmental scan across Canada about power mobility device use for children under 6 years with mobility limitations,children under 6 years with mobility limitations due to disability,Wheelchair Use; Postural Control; Power Mobility; ,wheelchair; mobility; equipment; postural support; prescription; training; environmental considerations; funding; barriers; ride-on toys; specialized devices; augmented mobility; access method; maintenance; technical support,N,,,Current SeatingandMobility.ca topic/webpage: Power Mobility Evidence online articles & conference presentations,Debbie,,
159,"CADTH Power Mobility Technologies for Children Aged Six Years and Under with Disability or Mobility Limitation: Clinical Effectiveness and Guidelines (August 20, 2015)",Debbie,,,,,External,Canadian Agency for Drugs and Technologies in Health (CADTH),2015,,https://www.cadth.ca/power-mobility-technologies-children-six-years-under-disability-mobility-limitation,May 19-21,clinicians,"webpage, pdf ",,,,,,,,,,,rapid evidence review on guidelines and effectiveness of  power mobility devices for children under 6 years with mobility limitations,children under 6 years with mobility limitations due to disability,Sitting Posture; Seating; Wheelchair Use; Postural Control; Power Mobility; ,wheelchair; mobility; equipment; postural support; prescription; training; environmental considerations; funding; barriers; ride-on toys; specialized devices; augmented mobility; access method; ,N,,,Current SeatingandMobility.ca topic/webpage: Power Mobility Evidence,Debbie,,
160,CADTH Prevention of Pressure Ulcers and Skin Degradation in Wheelchair Users: Guidelines,Debbie,,,,,External,Canadian Agency for Drugs and Technologies in Health (CADTH),2015,,https://www.cadth.ca/prevention-pressure-ulcers-and-skin-degradation-wheelchair-users,May 20-21,clinicians,"webpage, pdf ",,,,,,,,,,,rapid evidence review on guidelines of pressure ulcer prevention and management,those that encompass restricted body movement ,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; healing; ",N,,,Current SeatingandMobility.ca topic/webpage: CDR E4P Reviews & CADTH Rapid Reviews,Debbie,,
161,CADTH Rapid Response: Seating Devices for Children with Neuromuscular Diseases: Clinical Effectiveness & Guidelines,Debbie,,,,,External,Canadian Agency for Drugs and Technologies in Health (CADTH),2016,,https://www.cadth.ca/seating-devices-children-neuromuscular-diseases-clinical-effectiveness-and-guidelines-0,May 19-21,clinicians,"webpage, pdf ",,,,,,,,,,,rapid evidence review on guidelines and effectiveness of seating and mobility devices for children with neuromuscular diseases ,"neuromuscular disease; muscular dystrophy (MD), spinal muscular atrophy (SMA), myopathy; myotonia; ",Sitting Posture; Seating; Wheelchair Use; Postural Control; ,sitting posture; seating; positioning; prescription;,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide/Evidence,Debbie,,
162,CADTH Rapid Response: Seating Devices for Patients with Progressive Neuromuscular Diseases: Clinical Effectiveness (2010)   ,Debbie,,,,,External,Canadian Agency for Drugs and Technologies in Health (CADTH),2010,,https://www.cadth.ca/media/pdf/htis-L1/J0359%20Seating%20Devices%20final.pdf,May 19-21,clinicians,"webpage, pdf ",,,,,,,,,,,rapid evidence review on effectiveness of seating and mobility devices for individuals with progressive neuromuscular disease (all age groups),"neuromuscular disease; muscular dystrophy (MD), spinal muscular atrophy (SMA), myopathy; myotonia; ",Sitting Posture; Seating; Wheelchair Use; Postural Control; ,sitting posture; seating; positioning; prescription;,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide/Evidence,Debbie,,
163,CADTH reviews,Andrea R. ,"CADTH   (Debbie for power mobility, seating and assistive tech related topics)",Check for additional ones of relevance - add to list,,,External,Canadian Agency for Drugs and Technologies in Health (CADTH),,,,,,,,,,,,,,,,,,,,,N,,,,,,
164,Camping,Tanja,Amber P./Andrea,Integrate evidence and update for currency,,Therapeutic Recreation,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Canada Child Benefit,Maddy,,,,,External,Government of Canada,Sep-30-2020,© 2021,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview.html,6-Dec-21,"families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,,,,,,,,"Information about the Canada Child Benefit (CCB), a tax-free monthly payment made to eligible families raising a child under 18 years of age",,,"Canada Child Benefit, financial support",N,,,,,All,Canada
166,Canada Disability Tax Credit,Tanja,,add,27-May-21,,External,Canada Revenue Agency,?,18-Jan-21,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html,16-Feb-22,Families/caregivers,web link,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,--,,,,,,,Overview of federal disability tax credit eligibility criteria and application form,All,All,"disability tax credit, funding/financial supports",N,N,N,,Bill M.,All,Canada
167,Canada Fetal Alcohol Spectrum Disorder Research Network,Tanja,,add,27-May-21,Complex Developmental Behavioural Conditions,External,CanFASD,,,https://canfasd.ca/,16-Feb-22,Clinicians,web link,"Services, Supports & Community Resources",Advocating for Your Family's Needs,Advocacy Tools,,,,,,,,"Provides information on FASD for families, clinicians and researchers, Information about health conditions/clinical features",FASD,,"research, FASD, background",N,N,N,,Jen E.,All,Canada
169,Canada Recovery Caregiving Benefit (CRCB),Claire,,,,,External,Government of Canada,,,https://www.canada.ca/en/revenue-agency/services/benefits/recovery-caregiving-benefit.html,"August 5, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,"Information about the Canada Recovery Caregiving Benefit (CRCB), which gives income support to employed and self-employed individuals who are unable to work because they must care for their child under 12 years old or a family member who needs supervised care.  ",various disabilities,,"who can apply, eligibility, how much you can get, payment amounts, weeks you can apply for, how the periods work, when each period starts and ends, how to apply, when and how to apply, keep getting your payments, when to re-apply, when to expect your payment, impact on your taxes, how the CRCB is taxed, what you need to do at tax time, return a payment, return or repay the CRCB, contact us, contact information, questions about the CRCB, related information, statistics, applications to date, COVID-19",N,,,,,All,Canada-wide
170,Canadian Association of Guide & Assistance Dog Schools,Claire/Salina,,,,,External,Canadian Association of Guide & Assistance Dog Schools,unknown,unknown,Canadian Association of Guide and Assistance Dog Schools (cagads.com),"May 2, 2022","families, caregivers, clinicians, children/youth",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports to Help You Find Services,,,,,,,,Canadian Association of Guide & Assistance Dog Schools  is a one-stop resource to provide the general public with information on guide dog and assistance dog training organizations in Canada.,All,Other,"guide dogs, organizations, Canada, assistance dog training",N,,,,Cynthia,All,Canada-Wide
171,Canadian Cerebral Palsy Registry,Claire,,,,,External,The Canadian Cerebral Palsy Registry,,© 2020,https://www.cpregistry.ca/,"August 4, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,Registry to collect information about children with cerebral palsy for research,cerebral palsy,,"registry, cerebral palsy",N,,,,Diane W. ,,Canada-Wide
172,"Canadian National Standards for the Education of Children and Youth Who are Blind or Visually Impaired, including Those with Additional Disabilities",Claire,,,,,External,"Standards Revision Committee, Education Committee of the National Coalition for Vision Health",2003,2017,https://apsea.ca/assets/files/bvi/canadian-national-standards-doc.pdf,"June 18, 2021","parents, caregivers, educators, clinicians, policy makers",web link,,,,,,,,,,,"Canadian National Standards for the Education of Children and Youth Who are Blind or
Visually Impaired, Including Those with Additional Disabilities",various disabilities,,"education team, student participation, assessment, service delivery, individualized planning, access to services, learning materials in alternate formats, assistive technology, accessibility of digital content, programming options, early intervention services, transition planning, socio-emotional development, physical development, service collaboration, ",N,,,,Jen E. ,,
173,Canadian Occupational Performance Measure - 5th Edition (COPM),Lex,"Tanja, Debbie ",,,,Internal – Evidence Centre,"Mary Law, Sue Baptiste, Anne Carswell, Mary Anne McColl, Helene Polatakjo, Nancy Pollock",Tool 1991,Tool 2019,see Ax Info Card spreadsheet for associated links,May 28-21 (DF),"Clinicians, Researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,evaluates importance and satisfaction with performance of client-centred goals in everyday life. Website includes information and videos on how to use the COPM as well as case examples. ,All,All,"importance, satisfaction, outcome measurement, evaluation, occupational performance, self-care, productivity, leisure, activities of daily living, occupational therapy",N,N,,,Debbie,all,
174,Canadian Pediatric Society: Autism Resources,Tanja,,Add,2-Jun-21,,External,Canadian Pediatric Society,,2021,https://www.cps.ca/en/autism,16-Feb-22,Families/caregivers,web link,Assessment,Learn About Health Conditions,,,Learn About Assessments,Curated Evidence Syntheses,Clinical Practice Guidelins and Systematic Reviews,,,,"List of links and resources on autism, how to assess for autism ",Autism spectrum disorder,All,"asd, assessment, diagnosis, screening",N,N,N,,,All,canada
176,Canadian Seating and Mobility Conference,Debbie,,,,,External,Canadian Seating and Mobility Conference committee,,,http://www.csmc.ca/,May 31-21,"Clinicians, researchers, families, caregivers, medical equipment suppliers",webpages,,,,,,,,,,,"Supports advancing seating and mobility clinical practice and research through hosting the Nordic Seating Symposium, that typically taks place every three years in one of the Nordic countries.",those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,Education Courses/Workshops,Debbie,,
177,Canadian Virtual Hospice,Maddy,,,,,External,Canadian Virtual Hospice,,© 2003-2021,https://www.virtualhospice.ca/en_US/Main+Site+Navigation/Home+Navigation/About+Us/The+Story+of+the+Virtual+Hospice.aspx#about_us_content,06-Dec-21,"families, caregivers, clinicians, children/youth",Web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,Find Care and Support Services in BC,Respite and Palliative Care,Palliative Care,,,,"Support and information about advanced illness, palliative care, loss and grief, to people living with illnesses, family members, and those working in health care",,,"palliative care, advanced illness, virtual, grief, programs, services, books, forums, advice",N,N,N,,,All,Canada
178,CanAssist,Claire/Debbie,,,,,External,CanAssist at the University of Victoria,,© 2020,https://www.canassist.ca/,"August 3, 2021","families, caregivers, children/youth, clinicians, educators",web link,,,,,,,,,,,"individuals or service providers can make a request for customized assistive technologies unavailable elsewhere. Descriptions, photos, videos of current and past solutions available along with request forms. Teenwork and CanWork employment programs for teens and post-secondary students.  ",various disabilities,"assisitve device use, employment support","assistive technology, youth employment, equipment, supplies, community activity programs",N,,,All,Claire/Leslie L. / Debbie,,BC
179,CanChild,Claire,,,,,External,CanChild,,© 2021,https://canchild.ca/en/resources#/#$,"July 29, 2021","families, caregivers",web link,,,,,,,,,,,"List of diagnoses that can be filtered to find various reports, tools, and videos ","autism, brain injury, cerebral palsy, developmental coordination disorder",,"measures, models, posters, reports, tools, videos, webinars, presentations",N,,,,,All,Canada-Wide
180,Canchild Participation Measures on the Participation learning Hub,Debbie,,Check link,,,External,CanChild,,,https://www.canchild.ca/en/research-in-practice/participation-knowledge-hub,,,,,,,,,,,,,,Database of measures,,,,,,,,,,
181,CanChild Resources: Measures,Debbie,,Check link,,,External,CanChild,,,https://www.canchild.ca/en/resources#/?category=35#$,,,Link,,,,,,,,,,,Database of measures,,,,,,,,,,
182,Canuck Place Children's Hospice,Claire,,,,,External,Canuck Place Children's Hospice,,,https://www.canuckplace.org/,"August 5, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,Canuck Place is BC’s pediatric palliative care provider for children with life-threatening illnesses and the families who love them.,various disabilities,,"physicians, nurses, counsellors, therapists, staff, volunteers, medial respite care, pain management, symptom management, art therapy, music therapy, recreation therapy, end-of-life care, grief, loss and bereavement counselling, no cost, free, guidance, complex medical challenges, pediatric palliative care provider",N,N,N,,,All,BC
183,Canucks Autism Network ,Claire,,,,,External,Canucks Autism Network,,©2021,https://www.canucksautism.ca/,"July 27, 2021","families, caregivers, clinicians, children/youth, educators, first responders",web link,,,,,,,,,,,"Information about programs, training,  community engagment and employment services","autism, other disabilities",,"skills training, job fair, sport, recreation, schools, travel",Y,,,,Angie I.,All,BC
184,Canucks Autism Overnight Camp,Claire,,,,,External,Canucks Autism Network,,,https://www.canucksautism.ca/programs/overnight-camp/,"August 6, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,"Information about overnight camps, which are an opportunity for participants to enjoy an unforgettable outdoor experience in an organized group setting",autism,,"summer, safe, overnight, friends, try new things, boating, ropes course, archery, rock climbing, ocean swimming, field games, campfires, Keats Island, Howe Sound, British Columbia, overngith camp details, newsletter, program, registration dates, facility information, transportation, accomodations, meals, medication, safety plan, safety for in-person programs, participant commitment, camp fee, supports provided, program criteria",N,N,N,,,"Early Years, School Age, Youth",BC
185,Canucks Autism Summer Day Camp,Claire,,,,,External,Canucks Autism Network,,,https://www.canucksautism.ca/programs/summer-day-camp/,"August 5, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,"Information about the summer day camp, which provides participants with the opportunity to attend five-consecutive days of camp outdoors",autism,,"outdoor sports, games, crafts, play games, learn movement skills, practicing listening, practicing transitions, practicing taking turns, financial assitance, program guide, safety plan for in-person programs, program structure, support provided, storybook, summer half-day activity storybook, summer full-day activity storybook, program criteria, late registration request, summer",N,N,N,,,"School Age, Youth",BC
186,CAPER-BC,Maddy,,,,,External,CAPER-BC,,,https://caperbc.ca/,27-Jan-22,"families, caregivers, children/youth, educators",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,Other Resources,,,,,,,Resource that processes and transcribes learning materials into alternate forms that meet the needs of individuals with various disabilities,,,"learning materials, transcription, processing, accessibility, language",N,N,N,,,All,BC
187,Caregiver Priorities and Child Health Index of Life with Disabilities (CPCHILD) Questionnaire,Debbie,Tanja,,,,Internal – Evidence Centre,"Unni G Narayanan, Darcy Fehlings, Shannon Weir, Shannon Knights, Sonia Kiran, Kent Campbell
  


      
    

    

    

    
  ",Tool 2006,,see Ax Info Card spreadsheet for associated links,19-Jul-21,"Clinicians, researchers",Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"measures caregivers’ perspectives on the health status, comfort, well being, functional abilities and ease of caregiving of children with severe developmental disabilities.","Cerebral palsy , Brain injury, concussion, Developmental delay , Neuromuscular, genetic and rare conditions",All,"quality of life, activities of daily living, personal care, positioning, transfers, mobility, emotions, communication, health, caregiving",N,SickKids,,,Diane W.,School Age (5-19 years),
188,Caring for Babies Born with Clef Lip and/or Palette: American Academy of Pediatrics Report Explained,Maddy,,,,? Complex Developmental Behavioural Conditions ,External,American Academy of Pediatrics,,,https://www.healthychildren.org/English/health-issues/conditions/Cleft-Craniofacial/Pages/Cleft-Lip-and-Palate-Parent-FAQs.aspx,"January 27, 2022","clinicians, families, caregivers",web link,Assessment,Learn About Health Conditions,,,,,,,,,"A summary of clinical recommendations for cleft lip and/or palate for parents and caregivers. Includes informaiton on the types of cleft, common concerns, and what to expect for care and treatment.",Cleft Lip and/or Palate,,"cleft lip, cleft palate, concerns, care, treatment, information",,,,,,,
189,Caring for Easily Injured Skin,Debbie,,,,,External,Wounds Canada,2021,,https://www.woundscanada.ca/docman/public/patient-or-caregiver/1824-home-masd-care-1944e/file,May 21-21,"Families, caregivers, educators ",pdf,,,,,,,,,,,"Content covers what is moisture-associated skin damage, what can you do to reduce risk and manage skin damage with photos and illustrations",Moisture-Associated Skin Damage,Skin Health; Moisture-Associated Skin Damage; Wound Care,"healing; pressure sore, pressure ulcer;",no,,,,Debbie,,
190,Caring for Pressure Injuries at Home,Debbie,,,,,External,Wounds Canada,2021,,https://www.woundscanada.ca/docman/public/patient-or-caregiver/1691-home-pi-care-1940e/file,May 21-21,Families; (Educators); ,pdf,,,,,,,,,,,"Content covers what is a pressure injury, contributing factors, what can you do to reduce risk and manage injuries, quick tips and frequently asked questions with photos and illustrations",Pressure Injury,Skin Health; Pressure Injury Management; Wound Care,"healing; pressure sore, pressure ulcer;",no,,,,Debbie,,
191,Caring for Your Wound at Home,Debbie,,,,,External,Wounds Canada,2020,,https://www.woundscanada.ca/docman/public/patient-or-caregiver/1680-care-at-home-series-changing-a-dressing/file,May 21-21,"Families, caregivers, educators ",pdf,,,,,,,,,,,"Step by step process for caring for a wound at home, with photos, and frequently asked questions",Pressure Injury;,Skin Health; Wound Care,"healing; pressure sore, pressure ulcer;",no,,,,Debbie,,
192,"Casey, Paleg & Livingstone, 2013, Facilitating child participation through power mobility",Debbie,,,,,Internal,Roslyn L. ,2013,,https://journals.sagepub.com/doi/abs/10.4276/030802213X13627524435306,May 20-21,"clinicians, researchers","webpage, pdf ",,,,,,,,,,,peer-reviewed journal article offering a rationale for use of power mobility to enhance children's participation ,neuromotor disorders that result in difficulties standing and walking,"Power Mobility; Wheelchair Use; Postural Control; Hand Use, Cognition, Learning; Development; Participation",wheelchair; mobility; equipment; postural support; environmental considerations; functional abilities; skill progression; social interaction; goal-setting; training,N,,,,Debbie,,
193,CAYA- Communication Assistance for Youth and Adults ,Debbie,,,,,External,CAYA,,,https://cayabc.net/,May 27-21,"Families, Clinicians, Educators","webpages, weblinks, pdfs",,,,,,,,,,,"resources include Normal Language Aquisition & Children using AAC; Speaking Out is Easier Said than Done guide; ICU access to communication; supporting people who use AAC, client stories; SLP services those 19 years or older; works with Grade 12 students  if needing continuing support for face to face and written communication;",those with significant communication difficulties ,communication ,"augmentative and alternate communication (AAC), communication technology, equipment loan",no,,,,Debbie,,
194,CDBC Clinic at BCCH: Vancouver Coastal Health authority and Fraser Health Authority Complex Developmental & Behavioural Conditions Assessment ,Steph,,add. Change source title to Sunny Hill Health Centre?,"June 23, 2021",,Internal,BCCH,?,2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/complex-developmental-behavioural-conditions,"June 23, 2021",all,web link,,,,,,,,,,,CDBC provides diagnostic assessments for children & youth who have difficulties in multiple areas of function and who live in Vancouver Coastal Health Region as well as the Fraser Health Region. Children with more complexities from across the province may also be seen by the BCCH CDBC clinic.,"autism, fasd, complex developmental and behavoural conditions",varied,"asd, autism, autism spectrum disorder, fasd, fetal alcohols spectrum disorder",N,Y,,flowchart,Bill,,
195,CDBC Network Manual & FASD Handbook,Tanja,Jen E. ; Priya C. ,create and add,1-Jun-21,,Internal,Jen Engle,2021,2021,http://www.bcchildrens.ca/Sunny-Hill-Health-Centre-Site/Documents/CDBC%20Handbook%20V1%282021%29%202021Oct6.pdf,1-Mar-22,Clinicians,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Handbooks,,,,,,,"The goal of this handbook is to provide an over-arching framework for FASD assessments within CDBC, and to address common questions which arise during assessments. This handbook is intended as a reference for clinicians conducting CDBC network assessments.",Fetal alcohol spectrum disorder,All,"FASD, assessment, CDBC",N,N,N,,Jen E,All,BC
196,Centre for Inclusive Design,Debbie,,update link to http://centreforinclusivedesign.org/ ,,,External,Centre for Inclusive Design,,,http://centreforinclusivedesign.org/ ,May 27-21,"Clinicians, Families, Educators",webpages,,,,,,,,,,,"promotes inclusive design principles, tools and resources for digital and print communications as well as other aspects of society (structures, policies, behavior change etc).Resources include Cognitive Disability Digital Accessibility Guide,  Digital Accessibility and Recruitment Guide, Accessibility Testing Tools, Blog posts, ","those with physical, cognitive and/or sensory disabilities",universal design,"accessibility, accommodation, inclusion, ",no,,,Current SeatingandMobility.ca topic/webpage: Education Online Learning,Debbie,,
197,Centre for Mindfulness,Claire/Salina,,,,,Internal,BC Children's Hospital,unknown,2022,Centre for Mindfulness | Kelty Mental Health,"May 2, 2022","children/youth, families, caregivers, clinicians, educators",Web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports to Help You Find Services,,Find Care and Support Services in BC,Supports for Families,Self-Care Resources,,,,"The Centre serves as a hub to connect, support, and grow mindfulness activities for children, youth, families and caregivers, and health professionals. The Centre also aspires to nurture a “mindful culture” throughout the hospital community, the province of British Columbia, and beyond.",All,"Behaviour, emotion, social skills","events, webinars, blog, mindfulness resources, mental health and behaviour supports and programs",Y,N,N,,Pam H. ,All,BC
198,Cerebral Palsy (CP) & The Brain Video,Tanja,,,,Tone Management,External,CP-NET CanChild,?,?,http://cpnet.canchild.ca/en/resources/264-cp-the-brain-video,"March 2, 2022","Families/caregivers, Clinicians, Educators",Movie file,Assessment,Learn About Health Conditions,--,,,,,,,,Darcy Fehlings explains how CP can effect the brain depending on the type and location of the brain injury in a video produced by the Cerebral Palsy Foundation.,Cerebral palsy ,All,"CP, brain, video, learning, ",N,N,N,,,All,Canada
199,Cerebral Palsy Association of BC,Claire,,,,,External,Cerebral Palsy Association of BC,,© 2021,https://www.bccerebralpalsy.com/,"August 4, 2021","families, caregivers, educators",web link,,,,,,,,,,,Programs and services for children with cerebral palsy,cerebral palsy,,"Workshops, recreation, financial resources, referrals, programs, recreation, support and referrals, financial resources, resources",N,,,,Diane W. ,All,BC
200,Cerebral Palsy Foundation videos,Debbie,,,,,External,Cerebral Palsy Foundation,,,https://www.youtube.com/results?search_query=Cerebral+palsy+foundation,June 10-21,"families, caregivers, clinicians, educators",video files,,,,,,,,,,,numerous videos by experts ,cerebral palsy,"well-being, treatment",,N,,,,Debbie,,
201,Cerebral Palsy Frequently Asked Questions (FAQ),Maddy,,,,Tone Management ,External,Cerebral Palsy Association of BC,,© 2021,https://www.bccerebralpalsy.com/about-us/about-cerebral-palsy/cp-faq/,27-Jan-22,"families, caregivers, children/youth",web link,Assessment,Learn About Health Conditions,,,,,,,,,Answers to frequently asked questions about cerebral palsy,cerebral palsy,,"causes, equipment, treatment, medication",N,,,,,,Universal
202,Cerebral Palsy Overview,Maddy,,,,Tone Management,External,Armando Hasudungan,,,https://www.youtube.com/watch?v=7fUGWKM32hE,27-Jan-22,"families, caregivers, clinicians, children/youth",web link,Assessment,Learn About Assessments,,,,,,,,,Detailed decription of the subtypes of cerebral palsy and how the brain is affected for each subtype,cerebral palsy,,"cerebral palsy, cerebellum, cortex, basal ganglia, signs, spastic, dyskinetic, akinetic, associated complications, management  ",N,,,,,,
203,"Cerebral Palsy Powered Mobility Participation Handbook (Appendix 12.0, PDF Pages: 96-103)",Debbie,Debbie F. (content expert),,,,External,"Natalie Carden (Editor), Marion Adderley (Contributor), Natalie Carden (Contributor), Sue Cook (Contributor), Linda Elliot (Contributor) (Cerebral Palsy Alliance)",2009,,https://www.cerebralpalsy.org.au/wp-content/uploads/2016/05/Powered_Mobility_Manual.pdf,"July 7, 2021",clinicians,pdf,,,,,,,,,,,"Manual that provides comprehensive guidance, direction and information on evaluation and intervention in powered mobility",various disabilities,,"philosophy, evaluation process, evaluation tools, practical evaluation, setting up to go, prescription, funding application, equipment delivery, skill development, supervision, equipment information, working with Technology solutions for computer access, seating and communication, specialist referral, websites of interest, frequently asked questions, FAQs, expected outcomes, comprehensive evaluation, initial needs survey, INS, mat evaluation, support network, family, new users, power mobility, input device, method",N,,,,Debbie F. ,,
