"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
June 23-21,,,,,,,,,247,"Communication, Access, Literacy and Learning (CALL) Centre Scotland",web-ready,Debbie,,,,,,CALL Centre Scotland,,,,https://www.callscotland.org.uk/professional-learning/,May 28-21,"Families, Clinicians, Educators","SLP, OTs, PTs, HCP students,",website,"webpages, weblinks,pdfs, webinars, presentations,",Assessment,,,,,,,,,,Assessment,"resources and training programs  to promote learning, communication, literacy and assistive technology use for people who have motor, cognitive, sensory and/or communication disabilities.  Includes information on conditions, specific assistive technologies (e.g. eye gaze, speech recognition, iPads, Androids & Chromebooks, switches and other access methods), quick guides, posters, webinars, presentations","those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",assistive device use,,yes,,,,Debbie,,,216,,,All,
Vetting completed to criteria objectivity/conflict of interest,,,,,,Grade 11,,,248,Community Brain Injury Program,Ready for upload,Tanja,,add,n/a,26-May-21,,Centre for Ability,Centre for Ability,?,2021,https://bc-cfa.org/programs/brain-injury/who-are-we/,26-Jul-21,"Clinicians, families",All,Web,Web,"community supports and services,",,,,,,,,,,"community supports and services,","Program that provides community based services that enhance the quality of life of children, youth and adults with disabilities and their families in ways that facilitate and build competencies, and foster inclusion in all aspects of life",Brain Injury,all,"brain injury, rehabilitation, community treatment services",N,N,N,,Tanja,All,BC,13,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,249,Community Living BC,Ready for upload,Tanja,,add,n/a,26-May-21,,Community Living BC,Community Living BC,?,2018,https://www.communitylivingbc.ca/,27-Jul-21,"Clinicians, Educators, families, caregivers, children/youth",All,"Web, handouts, videos","Web, PDF, video files","community supports and services,",,,,,,,,,,"community supports and services,",A crown corporation which offers funding to individuals with disabilities and connects them with funded services and community.,Varied,all,"disability, funding, assistance, community, services, other community supports, information about transitions, Community living, funding, disability, special needs, housing, employment, education",N,N,N,,Bill M.,"School Age, Youth",BC,19,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,251,Community Services Near You: Foundry,web ready,Claire,N/A,,,,,"External, Foundry",Foundry,,,https://foundrybc.ca/get-support/find-community-services/,"August 4, 2021","Children/youth, families, caregivers, clinicians, educators",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Tool to locate community services,All,,"navigating the health care system, counselling and mental health support, drugs, alcohol and gambling support, health, housing and homelessness support, Indigenous support services, jobs and money, LGBTQ2S+ support services, legal and advocacy support, newcomer support services, violence and abuse support, ",N,N/A,N/A,,,All,BC,126,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,,may have to pay for training,,,,,252,Community Spaces: Canucks Autism Network,Web-ready,Claire,N/A,,,,,"External, Canucks Autism Network",Canucks Autism Network,,©2021,https://www.canucksautism.ca/training-community-engagement/inclusion-accessibility/,"July 27, 2021","families, caregivers, clinicians, children/youth",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Information about travelling safely,autism,,"checklist for YVR, airport map, Science World sensory map, riding the bus, Rogers Arena online storybook, videos",N,N/A,N/A,,,All,BC,46,,,N/A,
June 23-21,,,,,,,,,253,Community Therapist Referral Form for Neuromotor Assistive Technology services,web-ready,Debbie,,,,,,"
Sunny Hill Health Centre",Assistive Technology Team,Aug-20,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from ATT\ THERAPIST REFERRAL Form for Neuromotor Assistive Technology Services_V.5 Aug 2020,,Clinicians,"OT, PT",fillable pdf,fillable pdf,Intervention,,,,,,,,,,Intervention,online fillable referral form for therapists to initiate referral for Neuromotor Program Assistive Technology Team services,"those benefiting from assistive technology interventions for communication, learning, mobility, play and/or control of their environment","Assistive Device Use; Mobility, Communication; Learning; Play;","communication aids,augmentative and alternate communication (AAC), language; literacy; assistive technology; wheelchair; mobility; equipment; function, switches, tablets, assessment; evaluation; prescription; computers, mobile technology, environmental control, mounting,",N,,,,Debbie,,N/A,1295,,,all,
June 23-21,,,,,,,,,253,Community Therapist Referral Form for Neuromotor Assistive Technology services,web-ready,Debbie,,,,,,"
Sunny Hill Health Centre",Assistive Technology Team,Aug-20,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from ATT\ THERAPIST REFERRAL Form for Neuromotor Assistive Technology Services_V.5 Aug 2020,,Clinicians,"OT, PT",fillable pdf,fillable pdf,Assessment,,,,,,,,,,Assessment,online fillable referral form for therapists to initiate referral for Neuromotor Program Assistive Technology Team services,"those benefiting from assistive technology interventions for communication, learning, mobility, play and/or control of their environment","Assistive Device Use; Mobility, Communication; Learning; Play;","communication aids,augmentative and alternate communication (AAC), language; literacy; assistive technology; wheelchair; mobility; equipment; function, switches, tablets, assessment; evaluation; prescription; computers, mobile technology, environmental control, mounting,",N,,,,Debbie,,N/A,1296,,,all,
June 23-21,,,,,,,,,254,Community Therapist Referral Form for Neuromotor Positioning Mobility services,web-ready,Debbie,,,,,,Sunny Hill Health Centre,Positioning Mobility Team,Dec-20,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from PMT\PMT THERAPIST REFERRAL Form Dec 2020_Fillable.pdf,,Clinicians,"OT, PT",fillable pdf,fillable pdf,Intervention,,,,,,,,,,Intervention,online fillable referral form for therapists to initiate referral for Neuromotor Program Positioning and Mobility Team services,"those benefiting from seating, positioning and/or mobility interventions","Wheelchair Use; Postural Control, Seating, Mobility, Sitting Posture; Lying Posture; Standing Posture; Assistive Device Use",standing aids; walking aids; ambulation aids; assistive technology; wheelchair; mobility; equipment; postural support; assessment; evaluation; prescription; positioning; beds and mattresses,N,,,,Debbie,,N/A,1293,,,all,
June 23-21,,,,,,,,,254,Community Therapist Referral Form for Neuromotor Positioning Mobility services,web-ready,Debbie,,,,,,Sunny Hill Health Centre,Positioning Mobility Team,Dec-20,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from PMT\PMT THERAPIST REFERRAL Form Dec 2020_Fillable.pdf,,Clinicians,"OT, PT",fillable pdf,fillable pdf,Assessment,,,,,,,,,,Assessment,online fillable referral form for therapists to initiate referral for Neuromotor Program Positioning and Mobility Team services,"those benefiting from seating, positioning and/or mobility interventions","Wheelchair Use; Postural Control, Seating, Mobility, Sitting Posture; Lying Posture; Standing Posture; Assistive Device Use",standing aids; walking aids; ambulation aids; assistive technology; wheelchair; mobility; equipment; postural support; assessment; evaluation; prescription; positioning; beds and mattresses,N,,,,Debbie,,N/A,1294,,,all,
Vetting completed to criteria objectivity/conflict of interest. Ask Kim re: take out (as FindSupport BC includes information about counselling services),,,unsure,,,,,,255,Community-Based Support to Families with Children Aged from Birth to 12 Years Old: Share Family and Community Services,,Claire,,,,,,"External, Share Family and Community Services",Share Family and Community Services,,,https://sharesociety.ca/child-family-services,"August 23, 2021","families, caregivers, clinicans",all,Health-related service,Web link,community supports and services,,,,,,,,,,community supports and services,"Information about community-based support to families in the Tri-Cities, Anmore and Belcarra",,,"children, child and family services, Tri-Cities, Anmore, Belcarra, birth to 12 years old, Ministry of Children and Family Development, MCFD, MCFD Social Worker, Child & Youth Mental Health Clinician, CYMH, collaborative and attachment-oriented approach, trauma, cultural influences, systemic barriers, strength-based approach, family support workers, FSW, outreach support, parents, caregivers, home, community, understanding children’s behaviours and underlying needs, role of discipline, child development, therapeutic access, coping, advocacy, navigating community and government services, income assistance, affordable housing, services, English, Farsi and Mandarin, Interpretation services, clinical counsellors, children, adults, individual sessions, couple sessions, family sessions, office setting, play therapy, anxiety, depression, coping, self regulation, addressing behavioural concerns, strengthening parent-child relationship, impact of trauma, grief and loss, improving communication, co-parenting, Clinical Counseling services, how to get more information, get more information, office hours, eligibility, who qualifies for service, ",N,N,N,,Kim,All,BC,516,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,256,Complex Care Program: BC Children's Hospital,Web-ready,Maddy,,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,,http://www.bcchildrens.ca/our-services/clinics/complex-care#About,"September 20, 2021","families, caregivers, clinicans",All,Health-related service,web link,"Services, supports, and Community Resources",,,,,,,,,,"Services, supports, and Community Resources","The Complex Care program strives to ensure continuity and coordinated health care to children and youth with medical complexity (CYMC). The team aims to support families to access services and supports which improve health, well-being and quality of life.",no specific diagnosis,,"children and youth with medical complexity, CYMC, services, supports, health, well-being, quality of life, genetic syndromes, neurological impairment",N,N/A,N/A,,,All,BC,855,,,,
,,,,,,,,,257,Complex Developmental Behavioural Conditions,Web-ready,Maddy,N/A,,,,,"Internal, Sunny Hill Health Centre",Sunny Hill Health Centre,,© 2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/complex-developmental-behavioural-conditions#Your--team,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Assessment,,,,,,,,,,Assessment,Diagnostic assessments for children and youth with difficulties in more than one area of function,various disabilities,,"assessment, complex conditions",N,N/A,N/A,,,,N/A,833,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,258,Complex Health Needs: Government of British Columbia,Web-ready,Claire,,,,,,"External, Government of British Columbia","External, Government of British Columbia",,,Complex Health Needs - Province of British Columbia (gov.bc.ca),"August 6, 2021","families, caregivers, clinicians",all,Program,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Information about specialized support that is available to assist families with children who have unique and complex health care needs – to help them live at home and participate in regular daily activities,various disabilities,,"types of funding, types of support, brain injury, community brain injury program for children and youth, short-term rehabilitation, support services, children, teens, acquired brain injury, British Columbia, B.C., BC, program, transition, hospital, rehab, home, school, community, medicial benefits, respite care, specialized services, families, medical items, equipment, services, respite care, support, health professional, At Home Program, otherwise need to stay in the hospital, nursing, parents, caregivers, assistance, local registered nurses, special care needs, stay at home, live an active life, live a healthy life, nursing support services, specialized development and rehabilitation, Sunny Hill Health Centre for Children, Prescription and fitting of customized assistive devices, mobility devices (e.g. wheelchairs, complex feeding and nutritional assessment, 
psychology assessment or consultation",N,N,N,,,All,BC,389,,,,
,,,,,,,,,259,Compression Garment TL Synthesis,Web-ready,Alicia; Stephanie,"Ivonne M., OT; Natalie (student);  Lynda S., OT",Ensure current; revise handout,Done,,,Sunny Hill,,,,,,Clinicians,OT,TL Synthesis,PDF,Intervention,,,,,,,,,,Intervention,TL Synthesis,,,,N,,,,,,N/A,916,,,,
"June 22, 2021",,,,,,,,,260,Concussion Awareness Toolkit,Ready for upload,Tanja,,Add,N/A,25-May-21,,Sunny Hill,Claire,,,see Ax Info Card spreadsheet for associated links,28-Jul-21,"Educators, researchers, clinicians, parents, athletes, coaches, employers, women's support workers","Physician, Nurse, PT, OT",Info Card,Ax Toolkit entry,Assessment,,,,,,,,,,Assessment,"Series of online educational modules and resources addressing concussion recognition, diagnosis, treatment, and management. ",Concussion,brain function,"concussion, mild brain injury",Y,Y,N,,,,N/A,724,,,Beginner to Intermediate,
"Jun 22, 2021",,,,,,,,,260,Concussion Awareness Toolkit,Ready for upload,Tanja,,Add,N/A,25-May-21,,UBC BC Injury and Prevention Unit Child Health BC BCCH,Shelina Babul,2020,2020,https://cattonline.com/,25-May-21,"Educators, researchers, clinicians, parents, athletes, coaches, employers, women's support workers","Physician, Nurse, PT, OT","Web, e-learning module","Web, PDF, Video; e-learning module",Intervention,,,,,,,,,,Intervention,"Series of online educational modules and resources addressing concussion recognition, diagnosis, treatment, and management. ",Concussion,brain function,"concussion, mild brain injury",Y,Y,N,,,,N/A,949,,,Beginner to Intermediate,
,,,,,,,,,261,"Conducting an Interview (sample questions, considerations, qualifications to look for)","Groups related to spinal cord injury. Have added some resources. SupportWorker central. Have included some. Continue to look, if applicable ",Maddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,,,,
,,,,,,,,,262,Confident Parents: Thriving Kids,Web-ready,Claire,N/A,,,,,"External, Canadian Mental Health Association British Columbia",Canadian Mental Health Association British Columbia,,,https://cptka.inputhealth.com/,"May 24th, 2021","Families, caregivers, children/youth, clinicians, educators",All,e-learning module/course,web link,"Learning opportunity, intervention",,,,,,,,,,"Learning opportunity, intervention",telephone coaching and strengths-based parenting program,mental health,mental health,"anxiety, behaviour challenges, uncooperative behaviour, disruptive behaviour, agression, defiance, restless agitated, withdrawn, tearful, stomach aches, difficulty falling asleep, videos, workbooks, activities, coaching sessions, strategies,  Indigenous families",Y,N/A,N/A,BC,angie ip,,N/A,1281,,,N/A,
Not fully tagged. Await to hear from programs re: if they are going to include on their website or not.,,,,,,,,,263,Congenital Abnormalities: American Academy of Pediatrics,Web-ready,Maddy,,,,,Complex Developmental Behavioural Conditions ,,,,,https://www.healthychildren.org/English/health-issues/conditions/developmental-disabilities/Pages/Congenital-Abnormalities.aspx,"September 7, 2021","clinicians, families, caregivers",All,,,Background,,,,,,,,,,Background,Information about intellectual disabilities,,,,,,,,,,,597,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,264,Connection: AutismBC,Web-ready,Claire,N/A,,,,,"External, Autism Society of British Columbia",Autism Society of British Columbia,,©2021,https://www.autismbc.ca/programs/connection/,26-May-21,"families, caregivers, clinicians, children/youth",All,Program,web link,Community supports & services,,,,,,,,,,Community supports & services,"Information about community events, social clubs and support groups",autism,,"kids, teens, adult s, siblings, friends, support network, funding, girls club, pokémon juniors club, young adult social time, minecraft club, siblings groups, social sundays, AutismBC Talks",Y,N/A,N/A,,,All,BC,139,,,,
June 23-21,,,,,,,,,265,ConnSENSE Report ,web-ready,Debbie,,,,,,ConnSENSE Report,,,,https://connsensereport.com/2021/02/15/resources-for-free-and-low-cost-communication-boards-picture-symbols-and-visuals-for-adults/,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, music therapist, HCP students",website,"webpages, weblinks, pdfs, photos, videos","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","practical resources on assistive technology that will assist in learning about and accessing needed assistive technology. Includes free and for cost webinars, videos, ",various disabilities,"assistive device use, communication, learning, play","assistive technology, switches, augmentative and alternate communication (AAC), partner-assisted scanning, dynamic displays, picture symbols, education, music",N,,,,Debbie,,N/A,1234,,,all,
June 23-21,,,,,,,,,265,ConnSENSE Report ,web-ready,Debbie,,,,,,ConnSENSE Report,,,,https://connsensereport.com/2021/02/15/resources-for-free-and-low-cost-communication-boards-picture-symbols-and-visuals-for-adults/,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, music therapist, HCP students",website,"webpages, weblinks, pdfs, photos, videos",Intervention,,,,,,,,,,Intervention,"practical resources on assistive technology that will assist in learning about and accessing needed assistive technology. Includes free and for cost webinars, videos, ",various disabilities,"assistive device use, communication, learning, play","assistive technology, switches, augmentative and alternate communication (AAC), partner-assisted scanning, dynamic displays, picture symbols, education, music",N,,,,Debbie,,N/A,1235,,,all,
June 23-21,,,,,,,,,266,"ConnSENSE Report Resources for free and low cost communication boards, picture symbols and visuals",web-ready,Debbie,,,,,,ConnSENSE Report,,,,https://connsensereport.com/2021/02/15/resources-for-free-and-low-cost-communication-boards-picture-symbols-and-visuals-for-adults/,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, music therapist, HCP students",website,"webpages, weblinks, pdfs, photos, videos","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","Resources for free and low cost communication boards, picture symbols and visuals 
",various disabilities,"assistive device use, communication, learning, play","assistive technology, switches, augmentative and alternate communication (AAC), partner-assisted scanning, dynamic displays, picture symbols, education, music",N,,,,Debbie,,N/A,1232,,,all,
June 23-21,,,,,,,,,266,"ConnSENSE Report Resources for free and low cost communication boards, picture symbols and visuals",web-ready,Debbie,,,,,,ConnSENSE Report,,,,https://connsensereport.com/2021/02/15/resources-for-free-and-low-cost-communication-boards-picture-symbols-and-visuals-for-adults/,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, music therapist, HCP students",website,"webpages, weblinks, pdfs, photos, videos",Intervention,,,,,,,,,,Intervention,"Resources for free and low cost communication boards, picture symbols and visuals 
",various disabilities,"assistive device use, communication, learning, play","assistive technology, switches, augmentative and alternate communication (AAC), partner-assisted scanning, dynamic displays, picture symbols, education, music",N,,,,Debbie,,N/A,1233,,,all,
Not yet in Mapping Doc. Vetting completed to criteria objectivity/conflict of interest ,,,unsure,,,,,,267,Contacts for Health Records: Health Information Management,,Claire,,,,,,"External, Health Information Management",Health Information Management,,,http://www.himconnect.ca/contact/contacts-for-health-records,"August 23, 2021","families, caregivers, clinicians, children/youth",,Website/page,Web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Contact information for health records,,,"health information management, british columbia, hours, health records phone, location information, location, phone number, phone, ROI, ",N,N,N,,Katie O. ,All,BC,399,,,,
,,,,,,,,,268,Core Words: Rachel Madel Speech Therapy Inc.,Web-ready. Private organization/group,Claire,N/A,,,,,"External, Rachel Madel Speech Therapy Inc.",Rachel Madel Speech Therapy Inc.,,,https://www.rachelmadel.com/corewords,2-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,Resources related to core words. ,various disabilities,,"build sentences, what  are core words?, core board",Y,N/A,N/A,Private organization/group ,,,N/A,1243,,,,
,,,,,,,,,269,Courses: Rachel Madel Speech Therapy Inc.,Web-ready. Private organization/group,Claire,N/A,,,,,"External, Rachel Madel Speech Therapy Inc.",Rachel Madel Speech Therapy Inc.,,,https://rachelmadelslp.thinkific.com/collections,2-Jun-21,"families, caregivers, clinicians",All,e-learning module/course,web link,Intervention,,,,,,,,,,Intervention,Courses available ,various disabilities,,"augmentative and alternative  communication (AAC), team-based approach, AAC solutions, remote",Y,N/A,N/A,Private organization/group ,,,N/A,1244,,,,
 From e-blast.,,,,,,,,,270,COVID-19 and Canada's Kids,,,,,,,,"External, Children's Healthcare Canada",Children's Healthcare Canada,,,https://www.childrenshealthcarecanada.ca/covid19-and-canadas-kids,"August 18, 2021","families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"A number of resources developed from reliable sources on COVID-19, hospital preparedness, planning guidelines, and more",,,"international, Canada, webinars, resources, Canadian, Government of Canada, Provincial Health Updates, Public Health Agency of Canada, Canadian Pediatric Society, PHAC, CPS, Canadian Institute for Healthcare Information (CIHI), Paediatric International Patient Safety and Quality Community (PIPSQC), Ontario Centre of Excellence for Child and Youth Mental Health, Translating Emergency Knowledge for Kids (TREKK), ECHO, ARCHE & TREKK, CHILD-BRIGHT Network, Health Standards Organization (HSO), ScienceUpFirst, Centres for Disease Control and Prevention (CDC), Children’s Hospital Association (CHA), World Health Organization (WHO), Royal College of Paediatrics and Child Health, + Spark Live COVID-19 Webinars",Y,N,N,,Kim,All,Universal,1361,,,,
,,,,,,,,,271,COVID-19 and Children,Web-ready,Maddy,N/A,,,,,"External, BCDC",BCDC,,,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/covid-19-and-children,9-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,Information on how COVID-19 affects children and how to keep them healthy during the pandemic,,,"COVID-19, children, testing, vaccine, rashes, immunocompromized, mental health, childcare, babies",N,N/A,N/A,,,,N/A,1268,,,,
,,,,,,,,,272,COVID-19 and Children - Information for Patients,Web-ready,Maddy,N/A,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,,http://www.bcchildrens.ca/health-info/covid-19-and-children-information-for-patients,9-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,Frequently asked questions for patients at BC Children's about COVID-19 and how it may affect their appointments,,,"COVID-19, children, hospital visit, hospital parking, urgent care, testing,",N,N/A,N/A,,,,N/A,1271,,,,
From e-blast.,,,,,,,,,273,COVID-19 Evidence Synthesis: Strategy for Patient-Oriented Research (SPOR) Evidence Alliance,,Claire,,,,,,"External, Strategy for Patient-Oriented Research (SPOR) Evidence Alliance",Strategy for Patient-Oriented Research (SPOR) Evidence Alliance,,,https://sporevidencealliance.ca/key-activities/covid-19-evidence-synthesis/,"August 18, 2021","clinicians, researchers, families, caregivers, KT specialists, Health care leaders, policy makers",all,Website/page,web link,Intervention,,,,,,,,,,Intervention,This page showcases knowledge synthesis work being conducted by the Alliance researchers in response to decision-maker needs,,,"evidence, evidence-informed health policy, practice, service, context-sensitive, scientific evidence, decision-makers, research, synthesized evidence, informed decisions, health policy, COVID-19",N,N,N,,Kim,All,Canada-Wide,1359,,,digging deeper,
,,,,,,,,,274,COVID-19 Mask-Wearing in Children and People with Disabilities,Web-ready,Maddy,N/A,,,,,"External, Holland Bloorview Kids Rehabilitation Hospital ",Holland Bloorview Kids Rehabilitation Hospital,,,https://hollandbloorview.ca/sites/default/files/2020-07/Rapid%20response%20-%20Masking%20and%20children%202020-07-10%20VERSION%201%20.pdf,9-Jun-21,"families, caregivers, clinicians",All,pdf,"Web, pdf",Intervention,,,,,,,,,,Intervention,Review on mask-wearing in children and people with disabilities,,,"COVID-19, mask-wearing, disabilities, review, best evidence",N,N/A,N/A,,,,N/A,1273,,,,
Vetting completed to criteria objectivity/conflict of interest,,,"unknown. Does note ""latest updates"" which are dated in July 2021",,,,,,275,COVID-19 Resources for Patients,Web-ready,Claire,N/A,,,,,"External, CADDRA The Canadian ADHD Resource Alliance",CADDRA The Canadian ADHD Resource Alliance,,© 2021,https://www.caddra.ca/covid-19-resources-patients/,"July 29, 2021","families, caregivers, clinicians, preceptors/fieldwork supervisors, health care professional students",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,COVID-19 Resources for Patients,ADHD,,"patients, telemedicine, travel advisories, anxiety and mindfulness, ADHD resources, time management schedules, children, teens, adults, anxiety, support, virtual field trips, working from home, learning hub, indoor activities, fun things to do, free livestream classes, creating schedules, tips for parenting, explaining the corona virus, COVID-19 resources",N,N/A,N/A,,Armansa G. ,All,Canada-Wide,61,,,N/A,
,,,,,,,,,276,COVID-19 Self-help booklet series,Web-ready,Maddy,N/A,,,,,"External, CAMH",CAMH,,© 2021,https://camh.ca/covid19booklets,10-Jun-21,"families, caregivers, clinicians, children/youth",All,Websote/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Booklet series for people with intellectual disabilities to talk about their feelings and plan how to stay well,,mental health,"booklet, mental health, wellness, feeling anxious, feeling down, sleep, relaxation video",N,N/A,N/A,,,,N/A,1278,,,,
,,,,,,,,,277,COVID-19: BC Centre for Disease Control,Web-ready,Maddy,N/A,,,,,"External, BCDC",BCDC,,,http://www.bccdc.ca/health-info/diseases-conditions/covid-19,9-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"Information about COVID-19, how to protect yourself, and what to do if you think you may have the virus",,,"COVID-19, symptoms, treatment, mental health, variants, prevention, risks, vaccine, testing, self-isolation, indigenous community resources, childcare",N,N/A,N/A,,,,N/A,1267,,,,
,,,,,,,,,278,COVID-19: HealthLink BC,Web-ready,Maddy,N/A,,,,,"External, HealthLink BC",HealthLink BC,,,https://www.healthlinkbc.ca/health-feature/coronavirus-disease-covid-19,9-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"Information on COVID-19 testing, symtoms, treatment, etc.",,,"COVID-19, testing, symptoms, physical distancing, masks, self-isolation, mental health, treatment, medications",N,N/A,N/A,,,,N/A,1269,,,,
From e-blast. ,,,,,,,,,279,COVID-19: Tip Sheets and Resources: Holland Bloorview Kids Rehabilitation Hospital ,Web-ready,Claire,N/A,,,,,"External, Holland Bloorview Kids Rehabilitation Hospital ",Holland Bloorview Kids Rehabilitation Hospital,,,https://hollandbloorview.ca/our-services/family-workshops-resources/covid-19-tip-sheets-and-resources,18-Aug-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"Tip Sheets and resources to support clients and families during COVID-19 includes topics like what to do if your child can’t wear a mask, how to safely return to work when you have a vulnerable family member, resources to support remote learning. ",,,"COVID-19, mask-wearing, disabilities, families, children/youth, return to work, remote learning, e-newsletter, busting myths, home for the holidays, connecting virtually, virtual care, racism, supporting sibilings, emergency funding sources, mental health and wellness supports, legal rights, stay-at-home activities, budget-friendly, learning schedule, explaining COVID-19, children, video series, podcast, external resources",N,N,N,,Kim,All,Canada-Wide,1274,,,,
"June 22, 2021",,,,,,,,,280,CP Alliance Assessments and Outcome Measures,Ready for upload,Tanja,,Better list each on our website for direct linkages; pull links for appropriate ones,,14-May-21,,Cerebral Palsy Alliance,CP Alliance,2018,2018,https://cerebralpalsy.org.au/our-research/about-cerebral-palsy/assessments-and-outcome-measures/,,"Clinicians, families","Physician, nurse, OT, PT, SLP",Web,web,Assessment,,,,,,,,,,Assessment,Up to date information on CP on specific topic areas related to assessments and outcome measures,cerebral palsy,"Mobility, gait, occupational performance, gross motor skills, fine motor skills, muscle tone, ",motor assessment,N,CP Alliance,,,Diane W.,,N/A,693,,,Intermediate,
Check with Kim re: currency. Resources appear older than 5 years,,,unsure,,,,,,281,CP-Net Resources,Web-ready,Claire,,,,,,,,,,http://cpnet.canchild.ca/en/resources#/?type=37#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,,,,
