,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
,,,,,,,Y,Y,106,Autism Spectrum Disorder: What You Need To Know,Web-ready,Tanja,Angie I.,Add,N/a,1-Jun-21,Autism,External,Canadian Pediatric Society,?,Feb-20,https://www.caringforkids.cps.ca/handouts/behavior-and-development/autism-spectrum-disorder-what-you-need-to-know,15-Feb-22,"Families, caregivers, Families/caregivers",,Website,web link,Making Treatment Choices,Learn About Health Conditions,,,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,,,,,Intervention,"Provider background on ASD, early signs, assessment, treatment and family support",Autism spectrum disorder,All,"ASD, background, assessment, intervention",N,https://cps.ca/uploads/issues/CPS_Autism-EN-clinical-tool_1.pdf,N,,Angie I.,N/A,canada,570,,,Beginner,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,107,Autism Travel Resources,Web-ready,Claire,N/A,,,,,External,YVR,,,http://www.yvr.ca/en/passengers/navigate-yvr/accessibility-at-yvr/autism-travel-resources,"August 3, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Traveling accessibility at YVR,Autism,,"Resource kit, video series, YVR Autism Access Sticker, video, storybook, checklist, airport map, tips for travel, travel",N,N/A,N/A,,,All,Vancouver,74,,,N/A,
,,,,,,,,,108,Autism Videos @ Autism Community Training (ACT),Web-ready,Claire,N/A,,,,,External,Autism Community Training (ACT),,,https://www.actcommunity.ca/education/videos,26-May-21,"families, caregivers, clinicians",All,Video,web link,,,,,,,,,,,"Learning opportunity, intervention",ACT Videos that are presented by respected clinicians committed to sharing the latest in research and clinical experience.,autism,,"parents, professionals, toilet training, sleep, mental health, research, positive behavior support, individualized education plan, early intervention, education and advocacy, mental health, physical health, adolescent/adult focused, women and girls, linguistic and cultural diversity ",Y,N/A,N/A,,,,BC,1284,,,,
,,,,,,,Y,,109,Autism-Friendly Summer Camps and Programs,Web-ready,Maddy,N/A,,,,,External,AutismBC,Jun-1-2021,© 2021,https://www.autismbc.ca/blog/autism-summer-camps-and-more/,6-Dec-21,"families, caregivers, clinicians",All,Website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Summer Camps,,,,,,,,Community Supports and Services,"List of summer camps, day programs, and online events for children with autism",autism,,"autism, summer camps, day programs, online events, skill building",N,N/A,N/A,,Stephanie,,BC,241,,,,
June 23-21,,,,,,,Y,Y,110,Basic Skin Physiology,web-ready,Debbie,,,,,Positioning Mobility,External,Wounds Canada,2021,,https://www.woundscanada.ca/patient-or-caregiver/preventing-and-managing-wounds/basic-skin-physiology,May 21-21,"Families/caregivers, Children/youth, Educators, Health professional students, Clinicians",,Website,web link,Making Treatment Choices,Learn About Health Conditions,,,,,,,,,Background,"describes skin and characteristics including what is skin, what is it made of, what does it do, how does it change with age, how does it heal and what is the difference between an acute and chronic wound",All,"Bone, muscle, skin health","healing; skin characteristics, wound, pressure injury, background, information, education, ",N,N,N/A,,Debbie,All,Canada,153,,,Beginner,
Sept-13-21,,,,,,,,,111,BC Association of Clinical Counsellors,Web-ready,Anosha,,,,,,External,"BC Association of Clinical Counsellors, BCACC",2018,2021,https://bc-counsellors.org/,September 12-21,"Researchers,clinicians, educators",All,Website/page,web link,,,,,,,,,,,Community Supports and Services,"Provides information for people to find a Registered Clinical Counsellor, or steps on how to become a Registered Clinical Counsellor",,,"Counsellors, therapy, mental health, emotional, support, community, ",N,N/A,N/A,,,All,BC,305,,,Introductory,
June 23-21,,,,,,,Y,Y,112,At Home Program Medical Benefits for Children and Teens with Complex Health Needs,Web-ready,Debbie,,,,,Positioning and Mobility Team,External,BC Government,,,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/complex-health-needs/at-home-program/medical-benefits,May 26-21,"Families/caregivers, Clinicians","OT, PT, HCP students, Drs, nurses, social workers",website,web link,"Services, Supports & Community Resources",Equipment and Supplies,Equipment Loans,,Equipment and Supplies,Rent or Buy Equipment and Supplies,,Funding and Financial Supports,Government Funding and Programs,,"Services, Supports and Community Resources","BC Ministry of Child and Family Development funding program for medical supplies, equipment and services for those that meet their criteria","Cerebral palsy , Brain injury, concussion, Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions, Hearing and vision loss","Assistive technology, Positioning, mobility, lower body, Swallowing, eating, drinking  , Vision, hearing, touch, other senses, Bone, muscle, skin health, Personal care, home routines, Sleep","equipment, medical supplies, funding, assistive device, orthotics, wheelchair, bed and mattress, commode, aid, personal lift and slings",N,N,N/A,Current SeatingandMobility.ca topic/webpage: Equipment Loans,Debbie,All,BC,176,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,113,BC Centre for Ability ,Web-ready,Claire,N/A,,,,,External,BC Centre for Ability,,© 2021,http://bc-cfa.org/,"May 24th, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,,,,,,,,,,,Community supports & resources,list of various available programs,various disabilities,,"navigating the health care system, child and youth programs, brain injury, early intervention, family counselling support, fetal alcohol spectrum disorder support, stepping  stones, supported child development, adult employment programs,  opportunties fund, thrive program, Work BC Case Management, social emotional health, community treatment services",N,N/A,N/A,"Debbie: Don't know if this one is appropriate, may be better to include as BC Association for Child Development and Intervention  (https://www.bcacdi.org/) where families ",Leslie L. ,,BC ,78,,,N/A,
,,,,,,,Y,,114,BC Children's Hospital Patient and Family Guide,Web-ready,Maddy,N/A,,,,,Internal,BC Children's Hospital,,,http://www.bcchildrens.ca/About-Site/Documents/Patient-and-Family-Guide.pdf,6-Dec-21,"families, caregivers, clinicians",All,Article or guideline,Non-fillable PDF,Assessment,Prepare for an Assessment at Sunny Hill Health Centre,,,,,,,,,Assessment,Guide to assist families and patients with planning their visit,various disabilities,,"hospital, navigation, parking, food, preparation ",N,N/A,N/A,,,,N/A,831,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,115,BC Children's Hospital Research Institute,Web-ready,Claire,,,,,,Internal,BC Children's Hospital,,,https://www.bcchr.ca/,"August 6, 2021","families, caregivers, clinicians, children/youth, researchers ",all,Website/page,web link,,,,,,,,,,,Community Supports & Services,Information about the BC Children's Hospital Research Institute and research opportunities,,,"get involved, recent news, meet our researchers, stories of inspiration",Y,N,N,,,All,BC,403,,,,
Sept-11-21,,,,,,,,,116,BC Children's Mental Health Services,Web-ready,Anosha,,,,,,Internal,BC Children's Hospital,,© 2021,http://www.bcchildrens.ca/our-services/mental-health-services,"September 11,2021","families, caregivers, educators, clinicians",All,Website/page,web link,,,,,,,,,,,Community Supports and Services,"
Provides services for children and youth who are experiencing mental and emotion distress or serious psychiatric symptoms. Services include psychiatric assessment, short-term individual, family and group treatment, and medication review.","various disabilities, socio-emotional health",Mental health,"mental health, support, wellbeing, emotional, counselling, therapy, resources, community, services, children, youth",N,N/A,N/A,,,All,BC,303,,,Introductory,
Sept-11-21,,,,,,,,,117,BC Early Hearing Program,Web-ready,Anosha ,,,,,,External, BC Early Hearing Program,2021,,http://www.phsa.ca/our-services/programs-services/bc-early-hearing-program,"August 20, 2021","families, caregivers, health professionals, children, support workers",all,Program,web link,,,,,,,,,,,community supportds and services,Information about the services and screening programs offered by BCEHP,various disabilities,sensory,"hearing, screening, test, families, children, newborns, assess, program, services, support, treatment, diagnosis, hearing loss, hearing test",N,N,N,,,"early years, infant/toddler",BC,413,,,Introductory,
"Follow-up re: what program to contact regarding including on their website (Epilepsy), if applicable",,,unknown,,,,Y,Y,118,BC Epilepsy Society,Web-ready,Tanja,N/A,Add,N/A,3-Jun-21,,External,BC Epilepsy Society,,May-21,http://www.bcepilepsy.com/,"February 23, 2022","Clinicians, Families/caregivers, Children/youth, Educators",All,Website,web link,Assessment,Learn About Health Conditions,--,,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,,,,Assessment,Information and resources surrounding epilepsy,Other,Other,"seizures, first aid, safety, seizure types, seizure recording, seizure observation, medical assessments, treatment, mental wellness, learning, school, employment, financial supports, women, men, seniors, parents, law, sleep, sports, recreation, alcohol, drugs, photosensitivity, dogs, self-advocacy, podcast, documentary, research, camp subsidy, epilepsy",Y,Y,Y,,Tanja,All,BC,36,,,N/A,
"Follow-up re: what program to contact regarding including on their website (Epilepsy), if applicable",,,unknown,,,,Y,Y,118,BC Epilepsy Society,Web-ready,Tanja,N/A,Add,N/A,3-Jun-21,,External,BC Epilepsy Society,,May-21,http://www.bcepilepsy.com/,"February 23, 2022","Clinicians, Families/caregivers",All,Website,web link,Making Treatment Choices,Learn About Health Conditions,--,,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,--,"Find Treatment, Care and Support Services in BC","Treatment, Care and Supports Services",,Intervention,Information and resources surrounding epilepsy,Other,Other,"seizures, first aid, safety, seizure types, seizure recording, seizure observation, medical assessments, treatment, mental wellness, learning, school, employment, financial supports, women, men, seniors, parents, law, sleep, sports, recreation, alcohol, drugs, photosensitivity, dogs, self-advocacy, podcast, documentary, research, camp subsidy, epilepsy",Y,Y,Y,,Tanja,All,BC,221,,,N/A,
"Follow-up re: what program to contact regarding including on their website (Epilepsy), if applicable",,,unknown,,,,Y,Y,118,BC Epilepsy Society,Web-ready,Tanja,N/A,Add,N/A,3-Jun-21,,External,BC Epilepsy Society,,May-21,http://www.bcepilepsy.com/,"February 23, 2022",Clinicians,All,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,Services for Specific Health Concerns,Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,Find Care and Support Services in BC,School Supports,Other Resources,Community supports & resources,Information and resources surrounding epilepsy,Other,Other,"seizures, first aid, safety, seizure types, seizure recording, seizure observation, medical assessments, treatment, mental wellness, learning, school, employment, financial supports, women, men, seniors, parents, law, sleep, sports, recreation, alcohol, drugs, photosensitivity, dogs, self-advocacy, podcast, documentary, research, camp subsidy, epilepsy",Y,Y,Y,,Tanja,All,BC,221,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,119,BC Family Hearing Resource Society,Web-ready,Claire,,,,,,External,BC Family Hearing Resource Society,,,www.dogguides.com,"August 5, 2021","Families, caregivers, clinicians",all,Website/page,web link,,,,,,,,,,,Community Supports and Services,"Largest not-for-profit organization in British Columbia serving children who are deaf and hard-of-hearing, aged birth to school-entry. For 35 years, we have been providing intervention, support, education, sign language instruction and peer-to-peer mentoring to families throughout the province.","deaf, hard-of-hearing",,"advocacy, adovating for your family's needs, hearing loss, deafness, services for families, programs, groups, outreach programs, transitions, resources for parents, forms, professionals, services for professionals, resources for professionals, workshops for professionals, research, career opportunities, forms, centres of excellence, surrey centre, vancouver centre, victoria centre, surrey early speech and language program, birght futures specialized childcare, the learning place, home-based, centre-based, individual sign language services, family support parents, mentorship, consultation, supported educational platform, support, education, assistance, listening devices, hearing aids, cochlear implants, bone-anchored hearing aids, research, information, educational materials, resources",Y,N,N,,Anton,"Infant/Toddler, Early Years",BC,351,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,119,BC Family Hearing Resource Society,Web-ready,Claire,,,,,,External,BC Family Hearing Resource Society,,,http://www.bcfamilyhearing.com/,"August 5, 2021","Families, caregivers, clinicians",all,Website/page,web link,,,,,,,,,,,Intervention,"Largest not-for-profit organization in British Columbia serving children who are deaf and hard-of-hearing, aged birth to school-entry. For 35 years, we have been providing intervention, support, education, sign language instruction and peer-to-peer mentoring to families throughout the province.","deaf, hard-of-hearing",,"advocacy, adovating for your family's needs, hearing loss, deafness, services for families, programs, groups, outreach programs, transitions, resources for parents, forms, professionals, services for professionals, resources for professionals, workshops for professionals, research, career opportunities, forms, centres of excellence, surrey centre, vancouver centre, victoria centre, surrey early speech and language program, birght futures specialized childcare, the learning place, home-based, centre-based, individual sign language services, family support parents, mentorship, consultation, supported educational platform, support, education, assistance, listening devices, hearing aids, cochlear implants, bone-anchored hearing aids, research, information, educational materials, resources",Y,N,N,,Anton,"Infant/Toddler, Early Years",BC,351,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,120,BC Family Residence Program,Web-ready ,Claire,,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/tap-bc/bc-family-residence-program,"August 4, 2021","caregivers, families, clinicians",All,Website/page,web link,,,,,,,,,,,Community Supports & Services,"The BC Family Residence Program provides accommodation assistance to enable families to stay together when their child requires medical care at BC Children's Hospital or Sunny Hill Health Centre for Children, including premature babies and newborns with other health concerns. ",various disabilities,,"travel assistance, air transportation, patients, all ages, accomadation subsidies, families, child, 18 years and under, premature babies, newborns, health concerns, Vancouver area, residents of B.C., British Columbia, travel, hope air ",N,N/A,N/A,,,All,BC,435,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,Y,,120,BC Family Residence Program,Web-ready,Maddy,N/A,,,,,External,Government of British Columbia,,© 2021,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/tap-bc/bc-family-residence-program,6-Dec-21,"caregivers, families, clinicians",All,Website,web link,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,,Travel and Transportation,Travel Support for Medical Appointments,,,,,Assessment,"The BC Family Residence Program provides accommodation assistance to enable families to stay together when their child requires medical care at BC Children's Hospital or Sunny Hill Health Centre for Children, including premature babies and newborns with other health concerns. ",various disabilities,,"accomodation, air transportation",N,N/A,N/A,,,All,BC,832,,,,
June 23-21,,,,,,,Y,Y,121,BC Home Medical Equipment Dealers Association,Web-ready,Debbie,,,,,Positioning and Mobility Team,External,Home Medical Equipment Providers of BC,,,https://hmepa.ca/,May 26-21,"Families/caregivers, Clinicians, Technician/engineer","OT, PT, HCP students, social workers",Website,web link,"Services, Supports & Community Resources",Equipment and Supplies,Equipment and Maintenace Information,Wheelchair and Mobility Equipment Information,Equipment and Supplies,Equipment and Maintenace Information,Other Equipment Resources,Equipment and Supplies,Rent or Buy Equipment and Supplies,,Community Supports and Services,includes search tool to find a home medical equipment provider near to you in your region of BC; can specify  desired distance. Also hosts and archives recorded webinars related to medical equipment use,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Assistive technology, Positioning, mobility, lower body, Bone, muscle, skin health, Personal care, home routines","equipment, repair and maintenance, assistive device, wheelchair, seating, commode, bed and mattress, personal lift and sling, bathchair, walking aid",yes,,,Current SeatingandMobility.ca topic/webpage: Equipment Databases,Debbie,,,162,,,All,
June 23-21,,,,,,,Y,Y,121,BC Home Medical Equipment Dealers Association,Web-ready,Debbie,,,,,Positioning and Mobility Team,External,Home Medical Equipment Providers of BC,,,https://hmepa.ca/,May 26-21,"Families/caregivers, Clinicians, Technician/engineer","OT, PT, HCP students, social workers",Website,web link,"Services, Supports & Community Resources",Equipment and Supplies,Training Resources,,Find Care and Support Services in BC,,,,,,Community Supports and Services,hosts and archives recorded webinars related to medical equipment use. Also includes search tool to find a home medical equipment provider near to you in your region of BC; can specify  desired distance.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Assistive technology, Positioning, mobility, lower body, Bone, muscle, skin health, Personal care, home routines","equipment, repair and maintenance, assistive device, wheelchair, seating, commode, bed and mattress, personal lift and sling, bathchair, walking aid",yes,,,Current SeatingandMobility.ca topic/webpage: Equipment Databases,Debbie,,,162,,,All,
"Oct 19, 2021",,,,,,,,,122,BC Pediatric Constraint Induced Movement Therapy (CIMT) Guidelines,Checking with Tanya St-J re: updating needs - have not received reply yet.,Tanja,"Tanya S. John, PT & working group",Update; saved search; brief overview; tags,On hold pending Tanya's input,,,Internal,"Tanya St-John, Sandy Tatla et al.",2012,2019,Current CDR link: http://www.childdevelopment.ca/CIMT/CIMT_Introduction.aspx,20-May-21,Clinicians,"OT, PT","Guidelines, saved searches, brief overview; implementation tools","Web, links, PDF",,,,,,,,,,,Intervention,"Guideline, implementation tools and evidence to support best practices in constrait induced movement therapy for hemiparesis e.g. CP, stroke, etc.","Cerebral palsy, acquired brain injury, stroke, brachial plexus injury",Upper extremity function,"CIMT, Constraint-induced movement therapy, hemiparesis",N,N,N,,Diane W. ,,N/A,922,,,Advanced,
,,,,,,,Y,Y,123,BC Provincial Outreach Program for FASD,Web-ready,Tanja,,add,n/a,27-May-21,,External,POPFASD,?,?,https://www.fasdoutreach.ca/training,16-Feb-22,Educators,,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,Government and School District Resources,,,,,,,"Services, Supports, and Community Resources",Provides learning opportuntiies for educators regarding FASD,Fetal alcohol spectrum disorder,"Learning, education","e-learning, FASD, podcast, webinar, workshop",Y,N,N,,Tanja,All,BC,541,,,Beginner,
,,,,,,,Y,Y,123,BC Provincial Outreach Program for FASD,Web-ready,Tanja,,add,n/a,27-May-21,,External,POPFASD,?,?,https://www.fasdoutreach.ca/training,16-Feb-22,Educators,,Website,web link,Making Treatment Choices,Learn About Health Conditions,--,,,,,,,,Background (Learn about health conditions),Provides learning opportuntiies for educators regarding FASD,Fetal alcohol spectrum disorder,"Learning, education","e-learning, FASD, podcast, webinar. workshop",Y,N,N,,Tanja,All,BC,541,,,Beginner,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,125,bc211,Web-ready,Claire,,,,,,External,bc211,,,Home | bc211,"August 6, 2021","families, caregivers, clinicians",all,Website/page,web link,,,,,,,,,,,community supports and services,"BC211 is a Vancouver-based, nonprofit that strengthens communities by connecting people to the help they need",,,"emergency and crisis, addiction, counselling, health care, legal and advocacy, mental health, victim services, education, employment, training, financial assistnace, food, basic goods, homelessness, housing, transportation, children, families, disabilities, immigrants, refugees, LGBT2SQ+, youth",N,N,N,,Kim,All,BC,424,,,,
,,,,,,,,,126,BC Autism Assessment Network (BCAAN): Provincial Health Services Authority,Web-ready,Steph,N/A,,,,,Internal,PHSA,,© 2021,http://www.phsa.ca/our-services/programs-services/bc-autism-assessment-network#Assessment,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,,,,,,,,,,,Assessment,Diagnostic assessments for those with suspected autism spectrum disorder,autism,,"assessment, autism",N,N/A,N/A,flowchart,,,N/A,835,,,,
,,,,,,,,,127,Autism: Sunny Hill Health Centre,Web-ready,Steph,N/A,,,,,Internal,Sunny Hill Health Centre,,© 2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/autism,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,,,,,,,,,,,Assessment,Diagnostic assessments for those with suspected autism spectrum disorder,autism,,"assessment, autism",N,N/A,N/A,flowchart,,,N/A,834,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,Y,,129,BCEdAccess,Web-ready,Maddy,,,,,,External,BCEdAccess,,,https://bcedaccess.com/,06-Dec-21,"families, caregivers, clinicians",All,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,,,,,,,Community Supports and Services,Support group for families of students with disabilities and complex learners in BC,,,"parents, families, caregivers, education, access, support group",N,N,N,,,All,BC,336,,,Introductory,
,,,,,,,Y,Y,131,"Beery - Buktenica Development Test of Visual Motor Coordination, Sixth Edition. (Beery VMI)",Ready for upload,Lex,Debbie,,,,,Internal – Evidence Centre,"KE Beery, NA Buktenica, NA Beery.",Tool 2010,,see Ax Info Card spreadsheet for associated links,"July 13, 2021",Clinicians,"Occupational therapist, Psychologist",Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring",assesses visual-motor integration skills,All,"Hand, arm use, printing, Thinking, cognition, Vision, hearing, touch, other senses, Learning, education","cognition, development, dexterity, vision, perception, occupational therapy, psychology, education, fine motor, sensorimotor integration",N,N,N/A,,Debbie,All,N/A,654,,,original sources,
June 23-21,,,,,,,Y,N,132,Beginning power mobility for young children with cerebral palsy,Needs updating,Debbie,Roslyn Livingstone,update content and SHHC contact info,,,Positioning and Mobility Team,Internal,"Roslyn Livingstone, OT",,2017,http://www.cw.bc.ca/library/pdf/pamphlets/BCCH1467_BeginningPowerMobility.pdf,June 2-21,"Clinicians, Families/caregivers, Educators, Health professional students","OT, PT, Drs,  HCP students",Handout,Non-fillable PDF,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Learn About Health Conditions,,,,,,Intervention,"parent handout for families of young children with CP, answering questions such as Why is it important for my child to be able to get around on his or her own? Is my child too young for power mobility? How will power mobility help my child? Will power mobility stop my child from learning to walk or use a manual wheelchair? Should I wait longer to see if my child will walk? Are there skills needed first? How can  I arrange to have my child use power mobility?",Cerebral palsy ,"Positioning, mobility, lower body, Thinking, cognition, Behaviour, emotion, social skills, Assistive technology, Learning, education, Play, recreation, physical activity","power wheelchair, wheeled mobility, equipment, access method, training, walking difficulty, prescription, equipment, assistive device",N,N,N/A,need to review content and update SHHC info            currently in seatingmobility.ca Power Mobility Family Resources,Debbie,Early Years (0-6 years),BC,1160,,,all,
June 23-21,,,,,,,Y,N,132,Beginning power mobility for young children with cerebral palsy,Needs updating,Debbie,Roslyn Livingstone,update content and SHHC contact info,,,Positioning and Mobility Team,Internal,"Roslyn Livingstone, OT",,2017,http://www.cw.bc.ca/library/pdf/pamphlets/BCCH1467_BeginningPowerMobility.pdf,June 2-21,"Clinicians, Families/caregivers, Educators, Health professional students","OT, PT, Drs,  HCP students",Handout,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,,Learn About Health Conditions,,,,,,Assessment,"parent handout for families of young children with CP, answering questions such as Why is it important for my child to be able to get around on his or her own? Is my child too young for power mobility? How will power mobility help my child? Will power mobility stop my child from learning to walk or use a manual wheelchair? Should I wait longer to see if my child will walk? Are there skills needed first? How can  I arrange to have my child use power mobility?",Cerebral palsy ,"Positioning, mobility, lower body, Thinking, cognition, Behaviour, emotion, social skills, Assistive technology, Learning, education, Play, recreation, physical activity","power wheelchair, wheeled mobility, equipment, access method, evaluation, walking difficulty, assessment, equipment, assistive device",N,,,need to review content and update SHHC info            currently in seatingmobility.ca Power Mobility Family Resources,Debbie,Early Years (0-6 years),BC,1161,,,all,
June 23-21,,,created in 2011 but much of content is still relevant; need to update,,,,Y,N,133,Beginning Power Mobility - Frequently asked questions,Needs updating,Debbie,,"currently links to page Beginning Powered Mobility Summary of Research involving young children with cerebral palsy  Research Questions (list of 11 questions and each question links to summary table of evidence) Last Updated: Jan 13, 2011 need to update content and reformat",,,Assistive Technology Team and Positioning Mobility Team,Internal,"Roslyn Livingstone, OT ",2011,,http://www.seatingandmobility.ca/Powered_Mobility_Citations.aspx,May 20-21,"Clinicians, Researchers, Researchers","OT, PT, HCP students",Website,web link,Assessment,Learn About Assessments,Curated Evidence Syntheses,,Learn About Health Conditions,,,,,,Assessment,Question & Answer format compiling research evidence supporting use of power mobility for young children with CP ,Cerebral palsy ,"Positioning, mobility, lower body, Assistive technology, Learning, education, Play, recreation, physical activity, Thinking, cognition, Behaviour, emotion, social skills, Thinking, cognition, Behaviour, emotion, social skills","wheelchair, power mobility, equipment, assistive device, prescription, training, environmental considerations, functional abilities, learning, development",N,N,N,need to review content and update           currently in seatingmobility.ca Power Mobility Family Resources,Debbie,Early Years (0-6 years),BC,1015,,,all,
June 23-21,,,created in 2011 but much of content is still relevant; need to update,,,,Y,N,133,Beginning Power Mobility - Frequently asked questions,Needs updating,Debbie,,"currently links to page Beginning Powered Mobility Summary of Research involving young children with cerebral palsy  Research Questions (list of 11 questions and each question links to summary table of evidence) Last Updated: Jan 13, 2011 need to update content and reformat",,,Assistive Technology Team and Positioning Mobility Team,Internal,"Roslyn Livingstone, OT ",2011,,http://www.seatingandmobility.ca/Powered_Mobility_Citations.aspx,May 20-21,"Clinicians, Researchers","OT, PT, HCP students",Website,web link,Making Treatment Choices,"Learn About Treatment, Care and Activities",Curated Evidence Syntheses,,Learn About Health Conditions,,,,,,Intervention,Question & Answer format compiling research evidence supporting use of power mobility for young children with CP ,Cerebral palsy ,"Positioning, mobility, lower body, Assistive technology, Learning, education, Play, recreation, physical activity","wheelchair, power mobility, equipment, assistive device, prescription, training, environmental considerations, functional abilities, learning, development",N,N,N,need to review content and update           currently in seatingmobility.ca Power Mobility Family Resources,Debbie,Early Years (0-6 years),BC,1016,,,all,
June 23-21,,,,,,,,,134,Beginning Power Mobility Loan Request (for Community Therapists),need to update to latest version,Debbie,,,,,,Internal,"Assistive Technology Team -Roslyn Livingstone OT, Debbie Field, OT",2021,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\20210610_Loan_Request_BeginningPowerMobility.docx,,Clinicians,"OT, PT",Word document,Word document,,,,,,,,,,,Intervention,Therapist Request Form for Beginning a Power Mobility Loan,those benefiting from use of a short-term device loan for assessment and/or learning power mobility skills,"Assistive Device Use; Mobility, Learning;",assistive technology; power wheelchair; power mobility; equipment loan; assessment; evaluation;,N,,,,Debbie,,N/A,1303,,,all,
June 23-21,,,,,,,,,134,Beginning Power Mobility Loan Request (for Community Therapists),need to update to latest version,Debbie,,,,,,Internal,"Assistive Technology Team -Roslyn Livingstone OT, Debbie Field, OT",2021,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\20210610_Loan_Request_BeginningPowerMobility.docx,,Clinicians,"OT, PT",Word document,Word document,,,,,,,,,,,Assessment,Therapist Request Form for Beginning a Power Mobility Loan,those benefiting from use of a short-term device loan for assessment and/or learning power mobility skills,"Assistive Device Use; Mobility, Learning;",assistive technology; power wheelchair; power mobility; equipment loan; assessment; evaluation;,N,,,,Debbie,,N/A,1304,,,all,
